epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9937.65,1.10263,0.68748,1.15578,0.9148,0.84553,0.92795,0.66994,0.86658,0.49402,1.0443,3.56141e-05,3.56141e-05,3.56141e-05
86,10054.4,1.1119,0.69576,1.1622,0.91106,0.84321,0.92619,0.66947,0.86323,0.49642,1.04317,3.19759e-05,3.19759e-05,3.19759e-05
87,10171.2,1.09951,0.68201,1.15663,0.91259,0.84893,0.92775,0.67013,0.86263,0.4926,1.04208,2.85553e-05,2.85553e-05,2.85553e-05
88,10287.3,1.11005,0.68395,1.15632,0.91321,0.8445,0.92682,0.67041,0.86332,0.49242,1.04214,2.53557e-05,2.53557e-05,2.53557e-05
89,10403.6,1.08677,0.68228,1.15158,0.91032,0.84412,0.92509,0.66958,0.86279,0.49563,1.04218,2.23803e-05,2.23803e-05,2.23803e-05
90,10519.7,1.1171,0.69752,1.16084,0.91576,0.84202,0.9262,0.67048,0.86296,0.49354,1.04248,1.9632e-05,1.9632e-05,1.9632e-05
91,10635.1,1.05081,0.64664,1.14139,0.92028,0.82864,0.9205,0.66017,0.88661,0.5136,1.05423,1.71135e-05,1.71135e-05,1.71135e-05
92,10750.7,1.05163,0.61984,1.14601,0.92106,0.82934,0.92001,0.66109,0.88413,0.51498,1.05313,1.48273e-05,1.48273e-05,1.48273e-05
93,10866.7,1.04064,0.61682,1.13631,0.92016,0.82748,0.91927,0.66043,0.88439,0.51639,1.05338,1.27757e-05,1.27757e-05,1.27757e-05
94,10982.1,1.03397,0.60241,1.13102,0.92036,0.82691,0.91912,0.6621,0.88133,0.51637,1.05183,1.09606e-05,1.09606e-05,1.09606e-05
95,11098.1,1.04374,0.62002,1.13974,0.92055,0.82838,0.92035,0.66206,0.88316,0.51314,1.05201,9.38391e-06,9.38391e-06,9.38391e-06
96,11213.5,1.03346,0.60433,1.1377,0.92269,0.82526,0.91924,0.66276,0.88085,0.51536,1.05099,8.04714e-06,8.04714e-06,8.04714e-06
97,11329,1.04169,0.61686,1.14002,0.92138,0.82597,0.91906,0.66223,0.88229,0.51615,1.05146,6.95161e-06,6.95161e-06,6.95161e-06
98,11444.6,1.02901,0.60767,1.12607,0.92241,0.82751,0.9201,0.66224,0.88343,0.51391,1.05171,6.09841e-06,6.09841e-06,6.09841e-06
99,11559.9,1.02637,0.60761,1.12738,0.92137,0.82656,0.91968,0.66238,0.88314,0.5146,1.0518,5.48838e-06,5.48838e-06,5.48838e-06
100,11675.2,1.02756,0.61359,1.12843,0.92291,0.82419,0.91883,0.66263,0.88149,0.51584,1.05131,5.12213e-06,5.12213e-06,5.12213e-06
